header,subHeader,content
NGUYỄN DŨNG MINH đã thêm một ảnh mới vào album: KARATE.,0,"['tên', 'gọi', 'hướng', 'di_chuyển', 'trong', 'karate']"
NGHIỆN PHÍM CƠ,0,"['ban', 'nghienphimco', 'đổi', 'tí', 'gió', 'phím', 'custom', 'em', 'đi', 'con', 'vợ', 'keydous', 'nj81', 'plate', 'thép', 'keycap', 'moonlight', 'còn', 'bh', 'đâu_đó', '2', 'tháng', 'sói', 'gear', 'giá', 'đi', '2tr250k', 'fix', 'đẹp', 'ae', 'nhiệt_tình', 'uy_tín', 'hàng', 'sẵn', 'hn', 'ship', 'toàn_quốc', 'sđt', '0357668911']"
Cảm xúc chúng ta giống nhau,0,"['làm', 'con_người', 'sống', 'bình_yên', 'nước', 'chảy', 'mây', 'trôi', 'chọn_lựa', 'trả_giá']"
Huế,0,"['huế', 'ngày', 'mưa', '17', '9', '2023', 'mưa', 'huế', 'buồn', 'đẹp', 'lắm', 'ngô', 'lễ']"
CỘNG ĐỒNG KARATEKA VIỆT NAM,0,"['10', 'điêu', 'ban', 'biêt', 'vê', 'ngươi', 'thây', 'day', 'vo', '1', 'thầy', 'dạy', 'võ', 'luôn', 'muốn', 'học_sinh', 'mình', 'thành_công', 'ít_nhất', 'trong', 'rèn_luyện', 'võ_thuật', 'cho_dù', 'họ', 'ai', 'ngoại_hình_thế_nào', 'hay', 'khả_năng', 'họ', 'sao', '1', 'người', 'thầy', 'giúp', 'võ_sinh', '1', 'người', 'mới', 'trở_thành', '1', 'võ_sĩ', 'thực_thụ', 'chính', 'niềm', 'hạnh_phúc', '2', 'bạn', 'chẳng', 'bao_giờ', 'biết', 'hết', 'thầy', 'dạy', 'võ', 'làm_việc', 'vất_vả', 'thế_nào', 'đằng', 'buổi', 'lên_lớp', 'ở', 'võ_đường', 'liên_tục', 'tự', 'nghiên_cứu', 'tự', 'tập_luyện', 'động_viên', 'học_viên', 'kế_hoạch', 'phát_triển', 'lo', 'trả', 'hóa_đơn', 'còn', 'vô_số', 'công_việc', 'khác', 'bạn', 'nhìn', 'hoặc', 'nghe', 'thấy', '3', 'bạn', 'ko', 'đến', 'lớp', 'đối_với', 'bạn', 'có_lẽ', '1', 'buổi', 'nghỉ', 'tập', 'tham_gia', 'hoạt_động', 'khác', 'đối_với', 'thầy', 'dạy', 'võ', '1', 'trăn_trở', 'họ', 'lục_lọi', 'trí_nhớ', 'xem', 'làm', 'đúng_mực', 'khiến', 'bạn', 'cảm_thấy', 'mất', 'động_lực', 'đi', 'tập', 'hay', 'ko', 'phương_pháp', 'dạy', 'nghiêm_khắc', 'quá', 'ko', 'bài_tập', 'đưa', 'hợp_lý', 'buổi', 'đến', 'lớp', 'thực_sự', '1', 'sự_kiện', 'trọng_đại', 'bởi', 'lẽ', 'tất_cả', 'họ', 'thể_hiện', 'trong', 'buổi', 'tập', 'quyết_định', 'nuôi_dưỡng', 'niềm', 'đam_mê', 'mới', 'hay_là', 'dội', '1', 'gáo', 'nước_lạnh', 'nhiệt_tình', 'tập_luyện', 'võ_sinh', '4', 'đối_với', 'thầy', 'dạy', 'võ', 'niềm', 'vui', 'lớn', 'nhất', 'bạn', 'có_thể', 'dành', 'họ', 'tôn_trọng', 'say_mê', 'bạn', 'đối_với', 'môn', 'võ', '5', 'niềm', 'vui', 'lớn', 'thứ', '2', 'người', 'thầy', 'dạy', 'võ', 'võ_sinh', 'mình', 'có_thể', 'truyền_nhiệt_huyết', 'say_mê', 'mình', 'người', 'xung_quanh', 'bạn_bè', 'gia_đình', 'bằng', 'học', 'đóng_góp', 'thay_đổi', 'tích_cực', 'xã_hội', '6', 'niềm', 'vui', 'lớn', 'thứ', '3', 'người', 'thầy', 'dạy', 'võ', 'chính', 'bạn', 'luôn', 'cố_gắng', 'theo_đuổi', 'đạt', 'mục_tiêu', 'lớn', 'bản_thân', 'mình', 'bằng', 'kiên_trì', 'bền_bỉ', 'sức_mạnh', 'tập', 'võ', 'người', 'cố_gắng', 'trở_thành', 'đầu_bếp', 'giỏi', 'người', 'đường', 'thành', 'kỳ_thủ', 'nổi_tiếng', 'người', 'học_tập', 'chăm_chỉ', 'nghiên_cứu', 'trở_thành', 'kỹ', 'sưhãy', 'nhớ', 'thầy', 'dạy', 'võ', 'luôn', 'cổ_vũ', 'bạn', 'làm', 'đạt', 'mình', 'muốn', 'khó_khăn', 'hãy', 'đến', 'võ_đường', 'nói_chuyện', 'tập_luyện', 'bạn', 'tìm', 'động_lực', 'đi', 'tiếp', '7', 'đối_với', 'thầy', 'dạy', 'võ', 'người', 'học_trò', 'tuyệt_vời', 'nhất', 'người', 'kỹ_thuật', 'tốt', 'nhất', 'ko', 'người', 'gắn_bó', 'thầy', 'lâu', 'nhất', 'chính', 'người', 'hấp_thu', 'suy_nghĩ', 'thầy', 'kiên_trì', 'chăm_chỉ', 'áp_dụng', 'dạy', 'trong', 'cuộc_sống', 'công_việc', 'khác', 'đóng_góp', 'xã_hội', '8', 'bạn', 'hiểu', 'học', 'võ', 'đơn_giản', 'học', 'đúng', 'kỹ_thuật', 'đấm_đá', 'quăng', 'quậtmà', 'còn', 'học', 'cách', 'sống', 'cách', 'cư_xử', 'thầy_giáo', 'dạy', 'võ', 'thường', 'người', 'trải', 'công_việc', 'khác', 'nhau', 'họ', 'kinh_nghiệm', 'sống', 'sâu_sắc', 'phong_phú', 'hoặc', 'ít_ra', 'họ', 'luyện_tập', 'trong', 'thời_gian', 'dài', 'chịu', 'đau_đớn', 'giai_đoạn', 'họ', 'chia_sẻ', 'kinh_nghiệm', 'mình', 'hãy', 'ghi_nhớ', 'bởi', 'chúng', 'thực_sự', 'có_ích', 'bạn', '9', 'đừng', 'nói', 'thầy', 'dạy', 'võ', 'họ', 'chả', 'sợ', 'nỗi', 'sợ', 'lớn', 'nhất', 'họ', 'ko', 'đủ', 'hoặc', 'ko', 'duy_trì', 'nhiệt_tình', 'đam_mê', 'truyền', 'học_sinh', 'nhớ', 'chẳng', 'thầy', 'dạy', 'võ', 'nào', 'muốn', 'chịu', 'trách_nhiệm', 'về', 'khiến', 'võ_sinh', 'nghỉ', 'tập', '1', 'đau_lòng', 'một', 'nỗi', 'ám_ảnh', '10', 'cuối_cùng', 'mặc_dù', 'bạn', 'nghỉ', 'tập', 'năm', 'lúc_nào', 'bạn', 'chợt', 'nghĩ', 'về', 'thầy', 'dạy', 'võ', 'hãy', 'luôn', 'nhớ', 'họ', 'luôn', 'nhớ', 'bạn', 'mong', 'dịp', 'gặp', 'đối_với', 'họ', 'bạn', '1', 'thành_viên', 'trong', 'gia_đình', 'daidenvn', 'cộng_đồng', 'karateka', 'việt', 'nam', 'sưu_tầm', 'đề_nghị', 'quý', 'thầy', 'huynh', 'đệ', 'copy', 'bài', 'viết', 'hãy', 'ghi', 'đầy_đủ', 'nội_dung']"
"Khịa Bóng Đá
  · Theo dõi",0,"['chúc_mừng', 'chelsea', 'suất', 'trụ', 'hạng', 'nằm', 'trong', 'tay']"
"Thethao247.vn 
  · Theo dõi",0,"['còn', 'hạnh_phúc', 'hơn', 'idol', 'sút', 'trúng', 'mặt']"
"RAP VIỆT VEVO
  · Theo dõi",0,"['quả', 'cmt', 'ảo', 'thiệt', 'chớ', 'chúng_ta', 'nợ', 'rhyder', 'một', 'lời', 'xin_lỗi', 'quá', 'gánh', 'rapviet', 'rapvietmua3', 'rhyder', 'double2t']"
Hoa Hướng Dương,0,"['nhạo', 'rịu', 'pia', 'xưa', 'giờ', 'chuyển', 'món']"
PHÒNG TRỌ SINH VIÊN ĐÀ NẴNG,0,"['chuyển', 'trọ', 'mình', 'pass', 'tủ', 'ai', 'ib']"
Outfit Theo Trend,0,"['ở', 'nhà', 'ba', 'mẹ', 'đi', 'làm_mướn']"
Học cách nấu ăn ngon mỗi ngày,0,"['nhà', 'sẵn', 'nghệ', 'củ', 'tươi', 'mẹ', 'em', 'làm', 'mẻ', 'tinh_bột', 'nghệ', 'ăn', 'hết', 'giờ', 'em', 'đăng', 'bán', 'bớt', 'ai', 'tinh_bột', 'nghệ', 'nguyên_chất', '100', 'em', 'mình', 'kiểm_tra', 'thoải_mái', 'nhận', 'liên_hệ', '0336643166']"
"Bịch Bông, Tình Yêu Của Tôi :3",0,"['admin', 'tâm_sự', '14092017', 'mo', 'e', 'gdragon', 'kuala', 'lumpur', 'hcm', 'đổ', 'mưa', 'vừa', 'tắt', 'máy', 'làm', 'xong', 'báo_cáo', 'tui', 'lướt', 'memories', 'fb', 'thấy', 'ảnh', 'ngày', 'năm', 'đi', 'concert', 'gd', 'mưa', '1', 'tiếng', 'đồng_hồ', 'concert', 'delay', 'staff', 'lau', 'sàn', 'nhà', 'tránh', 'trơn', 'trượt', 'lần', 'mở', 'passport', 'thấy', 'vệt', 'lem', 'nhớ', 'liền', 'hồi', 'đi', 'concert', 'mưa', 'ướt', 'nhẹp', 'tui', 'hồi', 'mua', 'vé', 'xa', 'đi', 'vé', 'gần', 'ở', 'thái', 'bạn', 'đi', 'vé', 'standing', 'xác_định', 'quẫy', 'mưa', 'luôn', 'xếp_hàng', 'đâu', 'dám', 'chen', 'ngoài', 'svđ', 'đúng', 'rộng', 'ngồi', 'xa', 'xác_định', 'xa_xôi', 'luôn', 'ngắm', 'biển', 'vàng', 'nha', 'nói', 'gd', 'diễn', 'mưa', 'nha', 'xong', 'concert', 'mưa', 'luôn', 'đầu', 'concert', 'mưa', 'best', 'memories', 'luôn', 'thèm', 'đi', 'concert', 'quá', 'idol', 'hông', 'show', 'nhạc', 'luôn', 'bạn', 'theo_đuổi', '1', 'idol', 'nào', 'hãy', 'cố_gắng', 'đi', 'có_thể', 'vip', 'mới', 'thích', 'bigbang', 'anh', 'nhập_ngũ', 'giờ', 'bà', 'đi', 'concert', 'luôn', 'á', 'biết', 'nào', 'đi', 'viết', 'quá', 'trời', 'mưa', 'tạnh', 'luôn', 'nhà', 'ngủ', 'ngon']"
"AOW - Anime/Manga Fanpage
  · Theo dõi",0,"['hạt', 'thóc', 'trở_thành', 'con', 'gà']"
"Le Hong Lam 
  · Theo dõi",0,"['hôm_qua', 'dám', 'đề_cập', 'đến', 'phim', 'trong', 'bài', 'phim', 'cuối', 'năm', 'biết', 'chất_lượng', 'sao', 'hôm_nay', 'có_thể', 'đưa', 'list', 'nhé', 'bình_luận', 'buổi', 'chiếu', 'sớm', 'mỹ', 'nhận', 'phản_hồi', 'tích_cực', 'cây_bút', 'gọi', 'best', 'scifi', 'movie', 'year', 'hay', 'one', '2023s', 'best', 'movies', 'thậm_chí', 'người', 'còn', 'so_sánh', 'nó', 'aliens', 'terminator', '2', 'hay', 'star', 'wars', 'toàn', 'scifi', 'movies', 'kinh_điển', 'chủ_đề', 'quá', 'thời_thượng', 'cuộc_chiến', 'tương_tàn', 'giữa', 'con_người', 'ai', 'thời', 'tương_lai', 'gareth', 'edwards', 'visual', 'effects', 'designer', 'chuyển', 'sang', 'làm', 'đạo_diễn', 'chuyên_trị', 'dòng', 'scifi', 'trong', 'tay', 'phim', 'tỷ', 'đô', 'rogue', 'one', 'star', 'wars', 'story', 'trailer', 'hôm', 'xem', 'ở', 'rạp', 'imax', 'hoành_tráng', 'kinh_phí', 'hạng', 'trung', 'thôi', '80', 'triệu', 'hi_vọng', 'một', 'cú', 'hit', 'mùa', 'thu', 'phim', 'ngô', 'thanh', 'vân', 'đóng', 'một', 'vai', 'phụ', 'biết', 'đất', 'diễn', 'thế_nào', 'tháng', 'gặp', 'vân', 'trong', 'một', 'sự_kiện', 'cổ', 'kỳ_vọng', 'lắm', 'dám', 'nói', 'thêm', 'hơn', 'sáng', 'nay', 'nhận', 'thư', 'mời', 'premiere', 'phấn_khích', 'phết', 'tuần', 'đi', 'xem', 'về', 'review', 'sâu', 'hơn']"
Trai Đẹp Là Nguồn Sống,0,"['tia', 'trai', 'tầm', 'cao', 'mới']"
Mew629,0,"['tính', 'cá_nhân', 'trong', 'nhạc', 'rap', 'người', 'miền', 'núi', 'chất', 'bên', 'hàn', 'rappers', 'còn', 'ở', 'vai_trò', 'khác', 'producer', 'dancer', 'nhân_vật', 'chỗ_đứng', 'nhất_định', 'trong', 'rap', 'game', 'một', 'điểm', 'chung', 'ghi', 'dấu', 'cá_nhân', 'riêng', 'mình', '________', 'young', 'maker', '6', 'trong', 'quá_trình', 'làm', 'vòng', '3', 'double2t', 'thái', 'sơn', 'chia_sẻ', 'ý_đồ', 'anh', 'muốn', 'làm', 'một', 'con', 'beat', 'khác_biệt', '3', 'vòng', 'lược', 'bỏ', 'giữ', 'một_chút', 'âm_thanh_nhạc_cụ', 'miền', 'núi', 'thay', 'nhịp', 'bass', '808', 'nặng', 'đô', 'đoạn', 'drop', 'đậm', 'màu', 'hàn_quốc', '2t', 'bảo', 'em', 'muốn', 'làm', 'người', 'miền', 'núi', 'chất', 'bên', 'hàn', 'nghĩ', 'sao', 'có_thể', 'thiếu', 'đoạn', 'beatbox', 'làm_nên', 'tên_tuổi', 'thai', 'son', '_______', 'thật', 'khó', 'khán_giả', 'nhớ', 'đến', 'mình', 'ít_nhất', 'hãy', 'khiến', 'họ', 'nhận', 'nghe', 'một', 'sản_phẩm', 'mới', 'ở', 'việt', 'nam', 'thai', 'son', 'beatbox', 'double2t', 'vang', 'tiếng', 'sáo', 'mèo', 'mew629', 'thằng', 'chém', 'gió', 'hitmaker', 'thaisonbeatbox']"
Tôi Yêu Manchester United,0,"['tin', 'nóng', 'harry', 'maguire', 'dính', 'chấn_thương', 'ngày', 'hành_quân', 'đến', 'đức']"
YAN Foods,0,"['giới', 'trẻ', 'nhìn', 'chắc', 'biết', 'ước']"
Trai Đẹp Là Nguồn Sống,0,"['gọi', 'tỷ', 'tỷ', 'đáng', 'yêu', 'xĩu', 'á']"
YAN Beauty,0,"['bố', 'chừa', 'tội', 'mê', 'điện_thoại', 'trông', 'con']"
Hoạt Hình Trung Quốc - Chinese Animation,0,"['vietsub', 'pvma', 'thổi', 'đèn', 'nam', 'hải', 'quy', 'khư', 'con', 'tàu_biển', 'bí_hiểm', 'họ', 'đến', 'vùng_biển', 'san_hô', 'truyền_thuyết', 'dường_như', 'chốn', 'vực', 'sâu', 'quy', 'khư', 'nước', 'tám', 'phương', 'trời', 'chín', 'vùng_đất', 'nước', 'sông', 'ngân_hà', 'đổ', 'thế_mà', 'nước', 'ở', 'đấy', 'chẳng', 'tăng', 'chẳng', 'giảm', 'họ', 'đương_đầu', 'sóng', 'nước', 'dữ_dội', 'đảo_lộn', 'đất', 'trời', 'bầy', 'cá_mập', 'khát_máu', 'sinh_vật', 'quái_dị', 'tưởng_chừng', 'tuyệt_diệt', 'thế_gian', 'họ', 'rơi', 'xuống', 'vùng', 'tàn_tích', 'một', 'đất_nước', 'huyền_bí', 'cổ_xưa', 'còn', 'lưu_danh', 'trong', 'truyền_thuyết', 'đối_mặt', 'khoảnh_khắc', 'cơ_may', 'trở', 'về', 'cõi', 'chết', 'vuột', 'khỏi', 'tầm', 'tay', 'ma_thổi_đèn']"
Thiếu Niên Nói đã đăng một video vào danh sách phát Sing My Song.,0,"['quan_trọng', 'bài', 'hát', 'nó', 'hay', 'quá', 'bản_quyền', 'video', 'thuộc', 'về', 'cattiensa', 'media', 'copyright', 'video', 'belongs', 'cattiensa', 'media', 'viva', 'vivanetwork']"
IIG Vietnam ,1,"['miễn_phí', 'tư_vấn', 'lộ_trình', 'ôn', 'thi', 'toeic', 'độc_quyền', 'iig', 'việt_nam']"
"Thằng bàn bên
  · Theo dõi",0,"['gió', 'tầng', 'nào', 'gặp', 'mây_tầng']"
Chiếc Bụng Đói,0,"['thui', 'khum', 'xiền', 'chịu', 'tốn', 'công', 'xíu', 'zay', 'chiecbungdoi']"
"Bịch Bông, Tình Yêu Của Tôi :3",0,"['thời_gian', 'bỏ', 'quên', 'gdragon', 'lão_hoá', 'ngược', 'gdragon', 'xxxibgdgrn', '권지용', 'kwonjiyong', 'bigbang', 'bigbangtinhyeucuatoithanhxuancuatoi']"
Mew629,0,"['2', 'năm', 'post', 'bài', '7', 'react', '2', 'năm', 'đồn', 'viết', 'bài', 'seeding', 'thế_là', 'thành_công', '29k', 'mew']"
Blog Tâm Sự News,0,"['mc', 'đại_nghĩa', 'thấy', 'sốc', 'ngang']"
Vài Ô Cửa Sổ,0,"['người', 'vô_tình', 'che', 'ta', 'tán', 'ô', 'ta', 'người', 'đợi_chờ', 'hết', 'mùa', 'mưa', 'năm', 'ấy', 'taom60']"
"Nguyễn Hương Ly 
  · Theo dõi",0,"['em', 'đeo', 'kính', 'thật', 'xinh', 'điểm', 'tô', 'đôi', 'mắt', 'ngước', 'nhìn', 'nhân_gian']"
Peaceful corner,0,"['suy', 'cho_cùng', 'con_người', 'hướng', 'đến', 'hạnh_phúc', 'yên', 'tự_tại', 'thứ', 'tuổi_trẻ', 'người_ta', 'thường', 'quên', 'mất', 'cách', 'trân_trọng']"
YAN Talents đã đăng một video vào danh sách phát TINTING 4_YANNews.,0,"['dù', 'khiếu', 'nghệ_thuật', 'bình', 'tinh', 'buồn', 'con_trai', 'khó', 'nối_nghiệp', 'gia_đình', 'yannews', 'tinting']"
Năm Tháng Sau Này,0,"['chẳng', 'ai', 'thương', 'một', 'người', 'vô_tâm', '_ignooy']"
BEAT HUẾ,0,"['độc', 'lạ', 'chợ', 'nấm', 'tràm', 'huế', 'năm', 'họp', 'duy_nhất', '1', 'lần', 'video', 'mỹ_thể']"
ngoac.space,0,"['trung_tâm', 'điện_tử_vi_mạch', 'bán_dẫn', 'tp', 'hcm', 'thể_loại', 'công_trình', 'cải_tạo', 'giáo_dục', 'văn_phòng', 'địa_điểm', 'thành_phố', 'thủ', 'đức', 'chủ', 'đầu_tư', 'tập_đoàn', 'sun', 'electronic', 'thiết_kế', 'ngoacspace', 'kiến_trúc_sư_trưởng', 'thịnh', 'cut', 'team', 'thiết_kế', 'thịnh', 'cut', 'nguyễn', 'tiến', 'đạt', 'mep', 'trí', 'nguyễn', 'modeling', 'visual', 'team', 'nguyễn', 'phan', 'hoàng', 'vy', 'phạm', 'minh', 'thảo', 'thi_công_nhân', 'thuận_hoà', 'nhiếp_ảnh', 'anh', 'chương']"
YAN Talents đã đăng một video vào danh sách phát TINTING 4_YANNews.,0,"['ku', 'phin', 'dương', 'lâm', 'phốt', 'thích', 'phun', 'mưa', 'yannews', 'tinting']"
KP Media,0,"['nhắc', 'đến', 'thế_hệ', 'chơi', 'bóng', 'phủi', 'ở', 'tầm', 'tuổi', 'mình', 'hà_nam', 'dù', 'thiếu', 'cầu_thủ', 'hay', 'thuận', 'nani', 'một', 'tên', 'ấn_tượng', 'khả_năng', 'đi', 'bóng', 'lắt_léo', 'tốc_độ', 'hay', 'bền_bỉ', 'mình', 'bao', 'năm', 'chinh_chiến', 'giải', 'phong_trào', 'lớn', 'nhỏ', 'khắp', 'hà_nam', 'lẫn', 'nam', 'định', 'trong', 'vô_số', 'màu', 'áo', 'khác', 'nhau', 'cup', 'vô_địch', 'đầy_ắp', 'trong', 'bộ', 'sưu', 'danh_hiệu', 'số', '11', 'tuy_nhiên', 'lần', 'trở', 'về', 'khoác_áo', 'cống_hiến', 'đội', 'bóng', 'quê', 'nhà', 'mang', 'tới', 'thuận', 'nani', 'niềm', 'cảm_hứng', 'đặc_biệt', 'còn', 'ít', 'giờ', 'thôi', 'trận', 'chung_kết', 'giữa', 'fc', 'phú', 'phúc', 'gặp', 'fc', 'aoe', 'công_đoàn', 'hà_nam', 'chính_thức', 'diễn', 'hết', 'ai', 'hết', 'anh', 'khát_khao', 'có_thể', 'mang', 'về', 'chiến_thắng', 'ngọt_ngào', 'dành', 'tặng', 'nhm']"
"Lan Trần
  · Theo dõi",0,"['ngày', 'mới', 'vui_vẻ', 'an_lành', 'khoẻ_mạnh', 'nha', 'nhà', 'mình']"
Anime Love - Fan Anime Manga,0,"['tanjiro', 'hậu_duệ', 'thượng', 'nhất', 'kokushibou']"
Blog Tâm Sự News,0,"['năm', 'nay', 'hoàng', 'thùy', 'linh', 'khiến', 'khán_giả', 'đi', 'hết', 'bất_ngờ', 'đến', 'bất_ngờ', 'khác']"
Vietnam Indie Music,0,"['hidden', 'luv', 'ep', 'playlist', 'rap', 'love', '16', 'typh', 'tối_ngày', '149', 'vừa_qua', '16', 'typh', 'phát_hành', 'ca_khúc', 'mới', 'tên', 'hidden', 'luv', 'ep', 'khác_biệt', 'bài', 'hát', 'làm_nên', 'danh_tiếng', '16', 'typh', 'một', 'tâm_sự', 'chân_thành', 'về', 'trải', 'nghiệm', 'tình_yêu', 'sâu_sắc', 'suy_tư', '16', 'typh', 'bài', 'hát', 'ep', 'lần', 'đươc', '16', 'typh', 'sắp_xếp', 'tạo', 'một', 'câu_chuyện', 'tình', 'sâu_sắc', 'liệu', 'nam', 'rapper', 'muốn', 'gửi', 'đến', 'ep', 'lần']"
Đà Nẵng News,0,"['bánh', 'trung_thu', 'ngáo', 'giá', 'nói', 'về', 'ngáo', 'giá', 'bánh', 'trung_thu', 'độc_giả', 'long', 'bức_xúc', 'nói', 'bánh', 'trung_thu', 'hàng', 'việt', 'nam', 'quá', 'đắt', 'năm', 'một', 'vụ', 'người_ta', 'mặc_sức', 'nâng_giá', 'bán', 'kể_cả', 'mua', 'nguyên_liệu', 'giá', 'siêu_thị', 'chẳng', 'đến', '15000', 'đồng', 'một', 'làm', 'thủ_công', 'bán', 'giá', '20000', 'đồng', 'lãi', '10000', 'đồng', 'hàng', 'nhà_máy', 'còn', 'rẻ', 'hơn', 'nhập', 'nguyên_liệu', 'số_lượng', 'lớn', 'công_nghệ', 'máy_móc', 'tự_động', 'thử_hỏi', 'vô_lý', 'bánh', 'trung_thu', 'chay', 'bán', 'giá', '50000', '60000', 'đồng', 'một', 'bánh', 'thập_cẩm', 'giá', '70000', '80000', 'đồng', 'tôi', 'hiểu', 'vì_sao', 'bánh', 'bán', 'đắt', 'như_vậy', 'quyết_định', 'mua', 'giờ', 'trung_thu', 'tôi', 'thà', 'mua', 'đồ_chơi', 'vừa', 'túi_tiền', 'trẻ_con', 'bánh', 'mua', 'về', 'vừa', 'đắt', 'ai', 'tha_thiết', 'ăn', 'quá', 'ngọt', 'một', 'độc_giả', 'khác', 'chi', 'sẻ', '__________', 'vnexpress']"
"IFact
  · Theo dõi",0,"['idol', 'còn', 'xin_lỗi', 'cmt', 'hoàng', 'thuỳ', 'linh', 'chính_thức', 'xin_lỗi', 'xin', 'rút', 'kinh_nghiệm', 'sâu_sắc', 'trong', 'giao_tiếp', 'trò_chuyện', 'chia_sẻ', 'chờ', 'mãi', 'linh', 'xin_lỗi', 'chi_tiết', 'tâm', 'thư', 'hoàng', 'thùy_linh', 'đọc', 'thêm', 'bình_luận', 'ifact']"
Netizenbuzz Vtrans,0,"['pann', 'uầy', 'jisoo', 'diễn_viên', 'lee', 'jehoon', 'hơi', 'đỉnh', 'kết_hợp', 'quá', 'điên_đảo', 'người', 'bên', 'trái', 'đạo_diễn', 'yoon', 'sunghyeon', 'mối', 'quen_biết', 'jisoo', 'đúng', 'ngờ', 'nha', 'phản_hồi', 'bài', 'viết', '259', '38', '1', '137', '54', 'visual', 'cặp', 'mận', 'thật', 'đẹp_đôi', 'vãi', '2', '126', '7', 'lee', 'jehoon', 'sinh', 'năm', '84', 'đúng', 'bảo', 'anh', 'ấy', 'mới', '30', 'tuổi', 'tui', 'tin', 'đấy', 'tui', 'già', 'đi', 'thôi', '3', '124', '74', 'fan', 'sao', 'nghĩ', 'lee', 'jehoon', 'thế', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', 'jisoo', 'bạn', 'trai', 'fan', 'mắc', 'cười', 'ghê', '4', '124', '22', 'hai', 'vibe', 'tương_đồng', 'đẹp_đôi', 'ghê', '5', '118', '5', 'hình_mẫu', 'lý_tưởng', 'jisoo', 'lee', 'jehoon', 'đúng', '6', '67', '18', 'xịn', 'nha', 'trai', 'xinh', 'gái', 'đẹp', 'hai', 'anh_chị', 'quá', 'đẹp_đôi', 'cre', 'pann']"
Góc nhỏ thị b l o g,0,"['hôm_qua', 'camera', 'hong', 'chỉa', 'tới', 'hết', 'hong', 'thấy', 'hết', 'đc', 'khung_cảnh', 'anh', 'đại_sứ', 'vờ', 'sa', 'chì', 'ăn_mừng', 'bằng', 'cách', '3', 'phần', 'dramatic', '7', 'phần', 'nhún_nhảy', 'đáng', 'iêu', 'ãnh', 'gặp', 'đc', 'xếp', 'ngồi', 'cuối', 'dãy', 'đi', 'sân_khấu', 'nhận', 'giải', 'đứng', 'ngoài', 'rìa', 'khối', 'người', 'hỏi', 'info', 'tên', 'ponytail', 'dành', 'hyunjin', 'ra_đời', 'cre', 'hae_yun', 'tik', 'tok']"
Forever?,0,"['em', 'mọi', 'khó_khăn', 'anh', 'có_thể', 'vượt']"
Tự học TOEIC mỗi ngày,1,"['file', 'tổng_hợp', '500', 'từ_vựng', 'chắc_chắn', 'gặp', 'trong', 'toeic', 'listening', 'từ_vựng', 'cực_kì_quan_trọng', 'bạn', 'nhớ', 'lưu', 'về', 'học', 'đi', 'thi', 'nhé', 'cô', 'đội_ngũ', 'benzen', 'english', 'chúc', 'bạn', 'học', 'tốt', 'đạt', 'mục_tiêu', 'benzenenglish', 'toeic', 'toeicuytinthuduc']"
Việc làm CNTT Đà Nẵng,0,"['hot_job', 'fsoft', 'đà', 'nẵng', 'tháng', '10', 'nè', 'mn', 'oii', '5', 'fresher', 'java', 'toeic', '600', '5', 'fresher', 'net', 'toeic', '600', '10', 'fresher', 'cad', '3', 'fresher', 'comtor', 'n2', 'gửi', 'cv', 'về', 'mail', 'chinm1fptcom', 'mình', 'hỗ_trợ', 'sớm', 'nhất', 'nha']"
Người Xứ Huế,0,"['chia_sẻ', 'gấp', 'gia_đình', 'mn', 'ơi', 'tìm', 'người', 'trong', 'hình', 'tên', 'nguyễn', 'văn', 'lộc', 'anh', 'lộc', 'bệnh', 'trầm_cảm', 'đi', 'khỏi', 'nhà', '34h', 'chiều', 'ngày', '189', 'đến', 'nay', 'thấy', 'về', 'nhà', 'già', 'đình', 'ae', 'bạn_bè', 'đi', 'tìm', 'thấy', 'đâu', 'ai', 'thấy', 'liên_hệ', 'gia_đình', 'anh', 'lh', '0899234171', '098', '3533016', 'gia_đình', 'xin', 'cám_ơn', 'người', 'gửi', 'tin', 'hồng', 'hạnh']"
Tình Yêu GenZ,0,"['thế_mà', 'tôi', 'tin', 'anh', 'ndh']"
Hội Các Bà Mẹ Bỉm Sữa Buôn Bán,0,"['bom', '1', 'thùng', 'xe_đạp', 'nhạc', 'đèn', 'thanh_lý', 'miễn_phí', 'sip', 'nhận', 'hàng', 'kiểm_tra', 'hàng']"
MacLife & Đồng Bọn,0,"['nó', 'hoằn', 'hoè', 'đb', 'ơi', 'ai', 'link', 'tải', 'outlook', 'google', 'drive', 'ạ', 'em', 'tk', 'fshare']"
Outfit Theo Trend,0,"['chê', 'tóc', 'mọc', 'tua_tủa', 'outfittheotrend']"
Đấu Phá Thương Khung,0,"['tiêu', 'viêm', 'cưa', 'cưa', 'còn', 'nhớ', 'huân_nhi']"
